concurso,acertos,loss
1,11,0.6750177145004272
2,8,0.7185947895050049
3,8,0.7116801738739014
4,11,0.675208330154419
5,10,0.6786602139472961
6,9,0.6843203902244568
7,10,0.6907260417938232
8,9,0.689130425453186
9,9,0.7080047726631165
10,9,0.6988471746444702
11,8,0.6996475458145142
12,10,0.6916664242744446
13,11,0.6749387383460999
14,9,0.689652681350708
15,10,0.6927029490470886
16,9,0.7067510485649109
17,7,0.7153910994529724
18,9,0.702005922794342
19,9,0.7010594010353088
20,9,0.6979299783706665
21,11,0.6646566987037659
22,9,0.7075549364089966
23,8,0.7130272388458252
24,9,0.6678415536880493
25,10,0.6964290142059326
26,8,0.7107513546943665
27,8,0.7049961090087891
28,10,0.7003732323646545
29,9,0.6984819769859314
30,10,0.6958458423614502
31,9,0.6882035732269287
32,8,0.6936438083648682
33,10,0.6620186567306519
34,9,0.6987179517745972
35,9,0.6889348030090332
36,10,0.6749721765518188
37,10,0.6760679483413696
38,7,0.7051624059677124
39,7,0.6987438201904297
40,9,0.7026057243347168
41,7,0.7093250751495361
42,9,0.6853289604187012
43,8,0.6979050636291504
44,8,0.6946498155593872
45,9,0.698039710521698
46,10,0.6850108504295349
47,9,0.6924329996109009
48,9,0.6805823445320129
49,11,0.6725128889083862
50,9,0.6846719980239868
51,8,0.6918628811836243
52,9,0.7006195783615112
53,8,0.6984286308288574
54,11,0.6678537726402283
55,9,0.6829025745391846
56,8,0.700297474861145
57,8,0.7070371508598328
58,12,0.6473924517631531
59,9,0.6942620873451233
60,11,0.6619623303413391
61,9,0.6887787580490112
62,8,0.7102634906768799
63,10,0.6808308362960815
64,11,0.6735995411872864
65,8,0.7054983377456665
66,10,0.6790419220924377
67,9,0.6858768463134766
68,10,0.6680024862289429
69,9,0.6784939765930176
70,9,0.6738113164901733
71,8,0.6952861547470093
72,9,0.687045156955719
73,10,0.6702415943145752
74,11,0.6658021807670593
75,9,0.6818918585777283
76,7,0.7421661615371704
77,10,0.6728166937828064
78,7,0.6976489424705505
79,8,0.6828945875167847
80,11,0.674326479434967
81,10,0.6719219088554382
82,9,0.6815193891525269
83,10,0.6745286583900452
84,10,0.6597496271133423
85,7,0.7088198065757751
86,9,0.6801030039787292
87,7,0.7090915441513062
88,9,0.6810954213142395
89,7,0.7039165496826172
90,10,0.6735053062438965
91,7,0.7119374871253967
92,9,0.6960453987121582
93,8,0.7072440385818481
94,7,0.6962971687316895
95,7,0.7276239991188049
96,8,0.7053037285804749
97,9,0.6747236847877502
98,8,0.6922160387039185
99,8,0.691295325756073
100,9,0.6846115589141846
101,10,0.6736215949058533
102,9,0.6752736568450928
103,10,0.6926317811012268
104,10,0.6922630071640015
105,10,0.6779902577400208
106,7,0.7007909417152405
107,9,0.6621662974357605
108,11,0.6706376075744629
109,9,0.6800487041473389
110,9,0.6787216067314148
111,8,0.685680091381073
112,8,0.6780439615249634
113,8,0.6972541213035583
114,10,0.6803725361824036
115,10,0.6832367181777954
116,10,0.6918126940727234
117,7,0.690798282623291
118,9,0.6792013049125671
119,9,0.6774673461914062
120,9,0.6618583798408508
121,11,0.6516981720924377
122,9,0.6902793645858765
123,8,0.6975650191307068
124,10,0.6881454586982727
125,7,0.6920028924942017
126,11,0.6554682850837708
127,10,0.6886940002441406
128,11,0.670656144618988
129,10,0.680106520652771
130,9,0.6656776666641235
131,10,0.6520710587501526
132,12,0.6378532648086548
133,9,0.6814245581626892
134,10,0.6796518564224243
135,8,0.6863571405410767
136,8,0.7157320976257324
137,9,0.687974750995636
138,8,0.6802003383636475
139,9,0.6755157709121704
140,8,0.6933000683784485
141,11,0.6455341577529907
142,10,0.6634535789489746
143,10,0.6761065125465393
144,8,0.6943280696868896
145,8,0.6869188547134399
146,11,0.6427642703056335
147,10,0.6677568554878235
148,10,0.6799506545066833
149,10,0.6716428995132446
150,9,0.6971960663795471
151,10,0.6775380969047546
152,10,0.6607417464256287
153,9,0.6740423440933228
154,10,0.6884245276451111
155,10,0.6609583497047424
156,9,0.6829226016998291
157,9,0.6901178956031799
158,8,0.6923417448997498
159,9,0.6851441264152527
160,11,0.6585474610328674
161,8,0.6751322150230408
162,10,0.6640406847000122
163,9,0.6686121225357056
164,9,0.6760603189468384
165,9,0.6829780340194702
166,10,0.6758691668510437
167,10,0.6621553897857666
168,9,0.6659556031227112
169,10,0.6582847833633423
170,10,0.6490288376808167
171,9,0.6632453203201294
172,11,0.6613194942474365
173,11,0.6443385481834412
174,8,0.7138717174530029
175,10,0.6650196313858032
176,9,0.695559024810791
177,9,0.6978251934051514
